id,scheme_slug,field_name,operator,rule_value,description
2802,karnataka-phase-2-rural-youth-driving-heavy-machinery-training,age,between,18-35,Citizen age must be between '18-35'
2803,karnataka-phase-2-it-emerging-tech-bootcamp-voucher,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2804,karnataka-phase-2-it-emerging-tech-bootcamp-voucher,occupation,eq,Student,Citizen occupation must be eq 'Student'
2805,karnataka-phase-2-it-emerging-tech-bootcamp-voucher,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2806,karnataka-phase-2-self-employment-micro-credit-guarantee,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2807,karnataka-phase-2-self-employment-micro-credit-guarantee,occupation,eq,Self-Employed,Citizen occupation must be eq 'Self-Employed'
2808,karnataka-phase-2-self-employment-micro-credit-guarantee,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2809,karnataka-phase-2-pucca-house-construction-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2810,karnataka-phase-2-pucca-house-construction-subsidy,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2811,karnataka-phase-2-rooftop-solar-green-energy-assistance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2812,karnataka-phase-2-rooftop-solar-green-energy-assistance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
2813,karnataka-phase-2-slum-rehabilitation-ews-flat-allocation,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2814,karnataka-phase-2-slum-rehabilitation-ews-flat-allocation,annual_income,lte,200000,Citizen annual_income must be lte '200000'
2815,karnataka-phase-2-rural-toilet-water-tap-incentive,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2816,karnataka-phase-2-rural-toilet-water-tap-incentive,annual_income,lte,200000,Citizen annual_income must be lte '200000'
2817,karnataka-phase-2-micro-enterprise-collateral-free-loan,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2818,karnataka-phase-2-micro-enterprise-collateral-free-loan,occupation,eq,Business,Citizen occupation must be eq 'Business'
2819,karnataka-phase-2-micro-enterprise-collateral-free-loan,annual_income,lte,800000,Citizen annual_income must be lte '800000'
2820,karnataka-phase-2-women-entrepreneur-startup-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2821,karnataka-phase-2-women-entrepreneur-startup-grant,occupation,eq,Business,Citizen occupation must be eq 'Business'
2822,karnataka-phase-2-women-entrepreneur-startup-grant,gender,eq,Female,Citizen gender must be eq 'Female'
2823,karnataka-phase-2-export-promotion-quality-certification-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2824,karnataka-phase-2-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
2825,karnataka-phase-2-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
2826,karnataka-phase-2-credit-linked-capital-subsidy-for-tech-upgradation,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2827,karnataka-phase-2-credit-linked-capital-subsidy-for-tech-upgradation,occupation,eq,Business,Citizen occupation must be eq 'Business'
2828,karnataka-phase-2-credit-linked-capital-subsidy-for-tech-upgradation,annual_income,lte,1000000,Citizen annual_income must be lte '1000000'
2829,karnataka-phase-2-e-vehicle-green-mobility-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2830,karnataka-phase-2-e-vehicle-green-mobility-subsidy,annual_income,lte,750000,Citizen annual_income must be lte '750000'
2831,karnataka-phase-2-rainwater-harvesting-ground-water-recharge-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2832,karnataka-phase-2-rainwater-harvesting-ground-water-recharge-grant,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2833,karnataka-phase-2-bio-gas-cattle-dung-renewable-plant-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2834,karnataka-phase-2-bio-gas-cattle-dung-renewable-plant-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2835,karnataka-phase-2-bio-gas-cattle-dung-renewable-plant-subsidy,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2836,karnataka-phase-3-kisan-samriddhi-crop-assistance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2837,karnataka-phase-3-kisan-samriddhi-crop-assistance,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2838,karnataka-phase-3-kisan-samriddhi-crop-assistance,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2839,karnataka-phase-3-solar-krishi-pump-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2840,karnataka-phase-3-solar-krishi-pump-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2841,karnataka-phase-3-solar-krishi-pump-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2842,karnataka-phase-3-horticulture-drip-irrigation-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2843,karnataka-phase-3-horticulture-drip-irrigation-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2844,karnataka-phase-3-horticulture-drip-irrigation-grant,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2845,karnataka-phase-3-dairy-cattle-development-incentive,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2846,karnataka-phase-3-dairy-cattle-development-incentive,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2847,karnataka-phase-3-dairy-cattle-development-incentive,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2848,karnataka-phase-3-fodder-cultivation-animal-care-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2849,karnataka-phase-3-fodder-cultivation-animal-care-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2850,karnataka-phase-3-fodder-cultivation-animal-care-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2851,karnataka-phase-3-fisheries-pond-biofloc-support,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2852,karnataka-phase-3-fisheries-pond-biofloc-support,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2853,karnataka-phase-3-fisheries-pond-biofloc-support,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2854,karnataka-phase-3-soil-health-organic-farming-mission,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2855,karnataka-phase-3-soil-health-organic-farming-mission,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2856,karnataka-phase-3-soil-health-organic-farming-mission,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2857,karnataka-phase-3-farm-mechanization-rotavator-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2858,karnataka-phase-3-farm-mechanization-rotavator-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2859,karnataka-phase-3-farm-mechanization-rotavator-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2860,karnataka-phase-3-post-matric-merit-scholarship,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2861,karnataka-phase-3-post-matric-merit-scholarship,occupation,eq,Student,Citizen occupation must be eq 'Student'
2862,karnataka-phase-3-post-matric-merit-scholarship,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2863,karnataka-phase-3-free-digital-tablet-laptop-distribution,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2864,karnataka-phase-3-free-digital-tablet-laptop-distribution,occupation,eq,Student,Citizen occupation must be eq 'Student'
2865,karnataka-phase-3-free-digital-tablet-laptop-distribution,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2866,karnataka-phase-3-competitive-exam-coaching-assistance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2867,karnataka-phase-3-competitive-exam-coaching-assistance,occupation,eq,Student,Citizen occupation must be eq 'Student'
2868,karnataka-phase-3-competitive-exam-coaching-assistance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2869,karnataka-phase-3-girl-child-higher-education-incentive,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2870,karnataka-phase-3-girl-child-higher-education-incentive,occupation,eq,Student,Citizen occupation must be eq 'Student'
2871,karnataka-phase-3-girl-child-higher-education-incentive,gender,eq,Female,Citizen gender must be eq 'Female'
2872,karnataka-phase-3-technical-polytechnic-skill-stipend,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2873,karnataka-phase-3-technical-polytechnic-skill-stipend,occupation,eq,Student,Citizen occupation must be eq 'Student'
2874,karnataka-phase-3-technical-polytechnic-skill-stipend,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2875,karnataka-phase-3-overseas-education-scholarship-for-ews,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2876,karnataka-phase-3-overseas-education-scholarship-for-ews,occupation,eq,Student,Citizen occupation must be eq 'Student'
2877,karnataka-phase-3-overseas-education-scholarship-for-ews,annual_income,lte,800000,Citizen annual_income must be lte '800000'
2878,karnataka-phase-3-special-education-aid-for-divyang-students,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2879,karnataka-phase-3-special-education-aid-for-divyang-students,occupation,eq,Student,Citizen occupation must be eq 'Student'
2880,karnataka-phase-3-special-education-aid-for-divyang-students,annual_income,lte,350000,Citizen annual_income must be lte '350000'
2881,karnataka-phase-3-matru-kalyan-nutrition-dbt,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2882,karnataka-phase-3-matru-kalyan-nutrition-dbt,gender,eq,Female,Citizen gender must be eq 'Female'
2966,kerala-fodder-cultivation-animal-care-grant,state,eq,Kerala,Citizen state must be eq 'Kerala'
2967,kerala-fodder-cultivation-animal-care-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2968,kerala-fodder-cultivation-animal-care-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2883,karnataka-phase-3-mahila-swavalamban-livelihood-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2884,karnataka-phase-3-mahila-swavalamban-livelihood-grant,gender,eq,Female,Citizen gender must be eq 'Female'
2885,karnataka-phase-3-kanya-vivah-marriage-assistance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2886,karnataka-phase-3-kanya-vivah-marriage-assistance,gender,eq,Female,Citizen gender must be eq 'Female'
2887,karnataka-phase-3-working-women-hostel-transport-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2888,karnataka-phase-3-working-women-hostel-transport-subsidy,gender,eq,Female,Citizen gender must be eq 'Female'
2889,karnataka-phase-3-single-mother-destitute-women-pension,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2890,karnataka-phase-3-single-mother-destitute-women-pension,gender,eq,Female,Citizen gender must be eq 'Female'
2891,karnataka-phase-3-sukanya-samriddhi-high-interest-top-up,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2892,karnataka-phase-3-sukanya-samriddhi-high-interest-top-up,gender,eq,Female,Citizen gender must be eq 'Female'
2893,karnataka-phase-3-universal-cashless-health-insurance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2894,karnataka-phase-3-universal-cashless-health-insurance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2895,karnataka-phase-3-critical-illness-relief-fund-cancer-kidney,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2896,karnataka-phase-3-critical-illness-relief-fund-cancer-kidney,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2897,karnataka-phase-3-free-diagnostic-tests-medicine-scheme,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2898,karnataka-phase-3-free-diagnostic-tests-medicine-scheme,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2899,karnataka-phase-3-senior-citizen-specialized-geriatric-care,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2900,karnataka-phase-3-senior-citizen-specialized-geriatric-care,age,gte,60,Citizen age must be gte '60'
2901,karnataka-phase-3-emergency-accidental-trauma-insurance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2902,karnataka-phase-3-emergency-accidental-trauma-insurance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
2903,karnataka-phase-3-old-age-social-security-pension,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2904,karnataka-phase-3-old-age-social-security-pension,age,gte,60,Citizen age must be gte '60'
2905,karnataka-phase-3-divyangjan-disability-monthly-pension,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2906,karnataka-phase-3-divyangjan-disability-monthly-pension,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2907,karnataka-phase-3-antyodaya-subsidized-food-security,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2908,karnataka-phase-3-antyodaya-subsidized-food-security,annual_income,lte,100000,Citizen annual_income must be lte '100000'
2909,karnataka-phase-3-sanitation-workers-rehabilitation-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2910,karnataka-phase-3-sanitation-workers-rehabilitation-grant,occupation,eq,Daily Wage,Citizen occupation must be eq 'Daily Wage'
2911,karnataka-phase-3-sanitation-workers-rehabilitation-grant,annual_income,lte,200000,Citizen annual_income must be lte '200000'
2912,karnataka-phase-3-tribal-livelihood-forest-produce-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2913,karnataka-phase-3-tribal-livelihood-forest-produce-grant,occupation,eq,Artisan,Citizen occupation must be eq 'Artisan'
2914,karnataka-phase-3-tribal-livelihood-forest-produce-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2915,karnataka-phase-3-youth-apprenticeship-monthly-stipend,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2916,karnataka-phase-3-youth-apprenticeship-monthly-stipend,occupation,eq,Unemployed,Citizen occupation must be eq 'Unemployed'
2917,karnataka-phase-3-youth-apprenticeship-monthly-stipend,age,between,18-29,Citizen age must be between '18-29'
2918,karnataka-phase-3-artisan-craftsman-modern-tool-kit-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2919,karnataka-phase-3-artisan-craftsman-modern-tool-kit-grant,occupation,eq,Artisan,Citizen occupation must be eq 'Artisan'
2920,karnataka-phase-3-artisan-craftsman-modern-tool-kit-grant,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2921,karnataka-phase-3-rural-youth-driving-heavy-machinery-training,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2922,karnataka-phase-3-rural-youth-driving-heavy-machinery-training,occupation,eq,Unemployed,Citizen occupation must be eq 'Unemployed'
2923,karnataka-phase-3-rural-youth-driving-heavy-machinery-training,age,between,18-35,Citizen age must be between '18-35'
2924,karnataka-phase-3-it-emerging-tech-bootcamp-voucher,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2925,karnataka-phase-3-it-emerging-tech-bootcamp-voucher,occupation,eq,Student,Citizen occupation must be eq 'Student'
2926,karnataka-phase-3-it-emerging-tech-bootcamp-voucher,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2927,karnataka-phase-3-self-employment-micro-credit-guarantee,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2928,karnataka-phase-3-self-employment-micro-credit-guarantee,occupation,eq,Self-Employed,Citizen occupation must be eq 'Self-Employed'
2929,karnataka-phase-3-self-employment-micro-credit-guarantee,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2930,karnataka-phase-3-pucca-house-construction-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2931,karnataka-phase-3-pucca-house-construction-subsidy,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2932,karnataka-phase-3-rooftop-solar-green-energy-assistance,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2933,karnataka-phase-3-rooftop-solar-green-energy-assistance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
2934,karnataka-phase-3-slum-rehabilitation-ews-flat-allocation,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2935,karnataka-phase-3-slum-rehabilitation-ews-flat-allocation,annual_income,lte,200000,Citizen annual_income must be lte '200000'
2936,karnataka-phase-3-rural-toilet-water-tap-incentive,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2937,karnataka-phase-3-rural-toilet-water-tap-incentive,annual_income,lte,200000,Citizen annual_income must be lte '200000'
2938,karnataka-phase-3-micro-enterprise-collateral-free-loan,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2939,karnataka-phase-3-micro-enterprise-collateral-free-loan,occupation,eq,Business,Citizen occupation must be eq 'Business'
2940,karnataka-phase-3-micro-enterprise-collateral-free-loan,annual_income,lte,800000,Citizen annual_income must be lte '800000'
2941,karnataka-phase-3-women-entrepreneur-startup-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2942,karnataka-phase-3-women-entrepreneur-startup-grant,occupation,eq,Business,Citizen occupation must be eq 'Business'
2943,karnataka-phase-3-women-entrepreneur-startup-grant,gender,eq,Female,Citizen gender must be eq 'Female'
2944,karnataka-phase-3-export-promotion-quality-certification-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2945,karnataka-phase-3-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
2946,karnataka-phase-3-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
2947,karnataka-phase-3-credit-linked-capital-subsidy-for-tech-upgradation,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2948,karnataka-phase-3-credit-linked-capital-subsidy-for-tech-upgradation,occupation,eq,Business,Citizen occupation must be eq 'Business'
2949,karnataka-phase-3-credit-linked-capital-subsidy-for-tech-upgradation,annual_income,lte,1000000,Citizen annual_income must be lte '1000000'
2950,karnataka-phase-3-e-vehicle-green-mobility-subsidy,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2951,karnataka-phase-3-e-vehicle-green-mobility-subsidy,annual_income,lte,750000,Citizen annual_income must be lte '750000'
2952,karnataka-phase-3-rainwater-harvesting-ground-water-recharge-grant,state,eq,Karnataka,Citizen state must be eq 'Karnataka'
2953,karnataka-phase-3-rainwater-harvesting-ground-water-recharge-grant,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2969,kerala-fisheries-pond-biofloc-support,state,eq,Kerala,Citizen state must be eq 'Kerala'
2970,kerala-fisheries-pond-biofloc-support,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2971,kerala-fisheries-pond-biofloc-support,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2972,kerala-soil-health-organic-farming-mission,state,eq,Kerala,Citizen state must be eq 'Kerala'
2973,kerala-soil-health-organic-farming-mission,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2974,kerala-soil-health-organic-farming-mission,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2975,kerala-farm-mechanization-rotavator-subsidy,state,eq,Kerala,Citizen state must be eq 'Kerala'
2976,kerala-farm-mechanization-rotavator-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
2977,kerala-farm-mechanization-rotavator-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2978,kerala-post-matric-merit-scholarship,state,eq,Kerala,Citizen state must be eq 'Kerala'
2979,kerala-post-matric-merit-scholarship,occupation,eq,Student,Citizen occupation must be eq 'Student'
2980,kerala-post-matric-merit-scholarship,annual_income,lte,250000,Citizen annual_income must be lte '250000'
2981,kerala-free-digital-tablet-laptop-distribution,state,eq,Kerala,Citizen state must be eq 'Kerala'
2982,kerala-free-digital-tablet-laptop-distribution,occupation,eq,Student,Citizen occupation must be eq 'Student'
2983,kerala-free-digital-tablet-laptop-distribution,annual_income,lte,400000,Citizen annual_income must be lte '400000'
2984,kerala-competitive-exam-coaching-assistance,state,eq,Kerala,Citizen state must be eq 'Kerala'
2985,kerala-competitive-exam-coaching-assistance,occupation,eq,Student,Citizen occupation must be eq 'Student'
2986,kerala-competitive-exam-coaching-assistance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
2987,kerala-girl-child-higher-education-incentive,state,eq,Kerala,Citizen state must be eq 'Kerala'
2988,kerala-girl-child-higher-education-incentive,occupation,eq,Student,Citizen occupation must be eq 'Student'
2989,kerala-girl-child-higher-education-incentive,gender,eq,Female,Citizen gender must be eq 'Female'
2990,kerala-technical-polytechnic-skill-stipend,state,eq,Kerala,Citizen state must be eq 'Kerala'
2991,kerala-technical-polytechnic-skill-stipend,occupation,eq,Student,Citizen occupation must be eq 'Student'
2992,kerala-technical-polytechnic-skill-stipend,annual_income,lte,300000,Citizen annual_income must be lte '300000'
2993,kerala-overseas-education-scholarship-for-ews,state,eq,Kerala,Citizen state must be eq 'Kerala'
2994,kerala-overseas-education-scholarship-for-ews,occupation,eq,Student,Citizen occupation must be eq 'Student'
2995,kerala-overseas-education-scholarship-for-ews,annual_income,lte,800000,Citizen annual_income must be lte '800000'
2996,kerala-special-education-aid-for-divyang-students,state,eq,Kerala,Citizen state must be eq 'Kerala'
2997,kerala-special-education-aid-for-divyang-students,occupation,eq,Student,Citizen occupation must be eq 'Student'
2998,kerala-special-education-aid-for-divyang-students,annual_income,lte,350000,Citizen annual_income must be lte '350000'
2999,kerala-matru-kalyan-nutrition-dbt,state,eq,Kerala,Citizen state must be eq 'Kerala'
3000,kerala-matru-kalyan-nutrition-dbt,gender,eq,Female,Citizen gender must be eq 'Female'
3001,kerala-mahila-swavalamban-livelihood-grant,state,eq,Kerala,Citizen state must be eq 'Kerala'
3002,kerala-mahila-swavalamban-livelihood-grant,gender,eq,Female,Citizen gender must be eq 'Female'
3003,kerala-kanya-vivah-marriage-assistance,state,eq,Kerala,Citizen state must be eq 'Kerala'
3004,kerala-kanya-vivah-marriage-assistance,gender,eq,Female,Citizen gender must be eq 'Female'
3005,kerala-working-women-hostel-transport-subsidy,state,eq,Kerala,Citizen state must be eq 'Kerala'
3006,kerala-working-women-hostel-transport-subsidy,gender,eq,Female,Citizen gender must be eq 'Female'
3007,kerala-single-mother-destitute-women-pension,state,eq,Kerala,Citizen state must be eq 'Kerala'
3008,kerala-single-mother-destitute-women-pension,gender,eq,Female,Citizen gender must be eq 'Female'
3009,kerala-sukanya-samriddhi-high-interest-top-up,state,eq,Kerala,Citizen state must be eq 'Kerala'
3010,kerala-sukanya-samriddhi-high-interest-top-up,gender,eq,Female,Citizen gender must be eq 'Female'
3011,kerala-universal-cashless-health-insurance,state,eq,Kerala,Citizen state must be eq 'Kerala'
3012,kerala-universal-cashless-health-insurance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
3013,kerala-critical-illness-relief-fund-cancer-kidney,state,eq,Kerala,Citizen state must be eq 'Kerala'
3014,kerala-critical-illness-relief-fund-cancer-kidney,annual_income,lte,300000,Citizen annual_income must be lte '300000'
3015,kerala-free-diagnostic-tests-medicine-scheme,state,eq,Kerala,Citizen state must be eq 'Kerala'
3016,kerala-free-diagnostic-tests-medicine-scheme,annual_income,lte,400000,Citizen annual_income must be lte '400000'
3017,kerala-senior-citizen-specialized-geriatric-care,state,eq,Kerala,Citizen state must be eq 'Kerala'
3018,kerala-senior-citizen-specialized-geriatric-care,age,gte,60,Citizen age must be gte '60'
3019,kerala-emergency-accidental-trauma-insurance,state,eq,Kerala,Citizen state must be eq 'Kerala'
3020,kerala-emergency-accidental-trauma-insurance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
3021,kerala-old-age-social-security-pension,state,eq,Kerala,Citizen state must be eq 'Kerala'
3022,kerala-old-age-social-security-pension,age,gte,60,Citizen age must be gte '60'
3023,kerala-divyangjan-disability-monthly-pension,state,eq,Kerala,Citizen state must be eq 'Kerala'
3024,kerala-divyangjan-disability-monthly-pension,annual_income,lte,250000,Citizen annual_income must be lte '250000'
3025,kerala-antyodaya-subsidized-food-security,state,eq,Kerala,Citizen state must be eq 'Kerala'
3026,kerala-antyodaya-subsidized-food-security,annual_income,lte,100000,Citizen annual_income must be lte '100000'
3027,kerala-sanitation-workers-rehabilitation-grant,state,eq,Kerala,Citizen state must be eq 'Kerala'
3028,kerala-sanitation-workers-rehabilitation-grant,occupation,eq,Daily Wage,Citizen occupation must be eq 'Daily Wage'
3029,kerala-sanitation-workers-rehabilitation-grant,annual_income,lte,200000,Citizen annual_income must be lte '200000'
3030,kerala-tribal-livelihood-forest-produce-grant,state,eq,Kerala,Citizen state must be eq 'Kerala'
3031,kerala-tribal-livelihood-forest-produce-grant,occupation,eq,Artisan,Citizen occupation must be eq 'Artisan'
3032,kerala-tribal-livelihood-forest-produce-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
3033,kerala-youth-apprenticeship-monthly-stipend,state,eq,Kerala,Citizen state must be eq 'Kerala'
3034,kerala-youth-apprenticeship-monthly-stipend,occupation,eq,Unemployed,Citizen occupation must be eq 'Unemployed'
3035,kerala-youth-apprenticeship-monthly-stipend,age,between,18-29,Citizen age must be between '18-29'
3036,kerala-artisan-craftsman-modern-tool-kit-grant,state,eq,Kerala,Citizen state must be eq 'Kerala'
3037,kerala-artisan-craftsman-modern-tool-kit-grant,occupation,eq,Artisan,Citizen occupation must be eq 'Artisan'
3038,kerala-artisan-craftsman-modern-tool-kit-grant,annual_income,lte,300000,Citizen annual_income must be lte '300000'
3039,kerala-rural-youth-driving-heavy-machinery-training,state,eq,Kerala,Citizen state must be eq 'Kerala'
3040,kerala-rural-youth-driving-heavy-machinery-training,occupation,eq,Unemployed,Citizen occupation must be eq 'Unemployed'
3041,kerala-rural-youth-driving-heavy-machinery-training,age,between,18-35,Citizen age must be between '18-35'
3042,kerala-it-emerging-tech-bootcamp-voucher,state,eq,Kerala,Citizen state must be eq 'Kerala'
3043,kerala-it-emerging-tech-bootcamp-voucher,occupation,eq,Student,Citizen occupation must be eq 'Student'
3044,kerala-it-emerging-tech-bootcamp-voucher,annual_income,lte,500000,Citizen annual_income must be lte '500000'
3045,kerala-self-employment-micro-credit-guarantee,state,eq,Kerala,Citizen state must be eq 'Kerala'
3046,kerala-self-employment-micro-credit-guarantee,occupation,eq,Self-Employed,Citizen occupation must be eq 'Self-Employed'
3047,kerala-self-employment-micro-credit-guarantee,annual_income,lte,400000,Citizen annual_income must be lte '400000'
3048,kerala-pucca-house-construction-subsidy,state,eq,Kerala,Citizen state must be eq 'Kerala'
3049,kerala-pucca-house-construction-subsidy,annual_income,lte,250000,Citizen annual_income must be lte '250000'
3050,kerala-rooftop-solar-green-energy-assistance,state,eq,Kerala,Citizen state must be eq 'Kerala'
3051,kerala-rooftop-solar-green-energy-assistance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
3052,kerala-slum-rehabilitation-ews-flat-allocation,state,eq,Kerala,Citizen state must be eq 'Kerala'
3053,kerala-slum-rehabilitation-ews-flat-allocation,annual_income,lte,200000,Citizen annual_income must be lte '200000'
3054,kerala-rural-toilet-water-tap-incentive,state,eq,Kerala,Citizen state must be eq 'Kerala'
3055,kerala-rural-toilet-water-tap-incentive,annual_income,lte,200000,Citizen annual_income must be lte '200000'
3056,kerala-micro-enterprise-collateral-free-loan,state,eq,Kerala,Citizen state must be eq 'Kerala'
3057,kerala-micro-enterprise-collateral-free-loan,occupation,eq,Business,Citizen occupation must be eq 'Business'
3058,kerala-micro-enterprise-collateral-free-loan,annual_income,lte,800000,Citizen annual_income must be lte '800000'
3059,kerala-women-entrepreneur-startup-grant,state,eq,Kerala,Citizen state must be eq 'Kerala'
3060,kerala-women-entrepreneur-startup-grant,occupation,eq,Business,Citizen occupation must be eq 'Business'
3061,kerala-women-entrepreneur-startup-grant,gender,eq,Female,Citizen gender must be eq 'Female'
3062,kerala-export-promotion-quality-certification-subsidy,state,eq,Kerala,Citizen state must be eq 'Kerala'
3063,kerala-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
3064,kerala-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
