slug,name,level,schemes_count
department-of-women-child-development-uttarakhand,"Department of Women & Child Development, Uttarakhand",state,12
department-of-women-child-development-west-bengal,"Department of Women & Child Development, West Bengal",state,18
ministry-of-agriculture-and-farmers-welfare,Ministry of Agriculture and Farmers Welfare,central,2
ministry-of-agriculture-farmers-welfare,Ministry of Agriculture & Farmers Welfare,central,800
ministry-of-education,Ministry of Education,central,1
ministry-of-finance,Ministry of Finance,central,4
ministry-of-health-and-family-welfare,Ministry of Health and Family Welfare,central,1
ministry-of-micro-small-and-medium-enterprises,"Ministry of Micro, Small and Medium Enterprises",central,1
ministry-of-petroleum-and-natural-gas,Ministry of Petroleum and Natural Gas,central,1
ministry-of-rural-development,Ministry of Rural Development,central,2
ministry-of-social-justice-and-empowerment,Ministry of Social Justice and Empowerment,central,1
ministry-of-women-and-child-development,Ministry of Women and Child Development,central,1
tribal-affairs-department-government-of-madhya-pradesh,"Tribal Affairs Department, Government of Madhya Pradesh",state,1
